Subsystem	Name	Role	Module1	Module2	Module3	Phenotype
Fructoselysine and Glucoselysine utilization HMP	GfrA	PTS system, fructoselysine/glucoselysine-specific IIA component	Carbohydrate utilization	Fructoselysine utilization; Glucoselysine utilization	Fructoselysine uptake; Glucoselysine uptake	FruLys; GlcLys
Fructoselysine and Glucoselysine utilization HMP	FrlO	Fructoselysine ABC transporter, substrate-binding protein	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlN	Fructoselysine ABC transporter, permease protein 1	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlM	Fructoselysine ABC transporter, permease protein 2	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlQ	Fructoselysine ABC transporter, ATP-binding protein	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlX	Predicted fructoselysine ABC transporter, substrate-binding protein	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlU	Predicted fructoselysine ABC transporter, permease protein 1	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlV	Predicted fructoselysine ABC transporter, permease protein 2	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlW	Predicted fructoselysine ABC transporter, ATP-binding protein	Carbohydrate utilization	Fructoselysine utilization	Fructoselysine uptake	FruLys
Fructoselysine and Glucoselysine utilization HMP	FrlR	Transcriptional regulator of fructoselysine utilization, GntR family	Carbohydrate utilization	Fructoselysine utilization; Psicoselysine utilization	Fructoselysine regulation; Psicoselysine regulation	FruLys; PsiLys
Fructoselysine and Glucoselysine utilization HMP	GfrR	RpoN-dependent transcriptional activator of GfrABCDEF operon, NtrC family	Carbohydrate utilization	Fructoselysine utilization; Glucoselysine utilization	Fructoselysine regulation; Glucoselysine regulation	FruLys; GlcLys
Hyaluronate utilization HMP	HylA	Hyaluronate lyase precursor (EC 4.2.2.1)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate catabolism	Hyl
Hyaluronate utilization HMP	HepC	Heparin-sulfate lyase (EC:4.2.2.8)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate catabolism	Hyl
Hyaluronate utilization HMP	Ugl	Unsaturated glucuronyl hydrolase (EC 3.2.1.-)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate catabolism	Hyl
Hyaluronate utilization HMP	Ohl	Oligohyaluronate lyase (EC 4.2.2.-)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate catabolism	Hyl
Hyaluronate utilization HMP	HylE	PTS system, hyaluronate-oligosaccharide-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	HylF	PTS system, hyaluronate-oligosaccharide-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	HylG	PTS system, hyaluronate-oligosaccharide-specific IID component (EC 2.7.1.69)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	HylH	PTS system, hyaluronate-oligosaccharide-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	HylX	Predicted hyaluronate ABC transport system, sugar-binding protein	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	HylY	Predicted hyaluronate ABC transport system, permease protein 1	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	HylZ	Predicted hyaluronate ABC transport system, permease protein 2	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	HylR	Predicted transcriptional regulator for hyaluronate utilization, GntR family	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate regulation	Hyl
Hyaluronate utilization HMP	RegR	Transcriptional regulator RegR, repressor of hyaluronate and KDG utilization, LacI family	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate regulation	Hyl
Hyaluronate utilization HMP	NagH	Hyaluronoglucosaminidase (EC 3.2.1.35)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate catabolism	Hyl
Hyaluronate utilization HMP	BgaC	Beta-1,3-galactosidase, linked to hyaluronan utilization genes (GH35)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate catabolism	Hyl
Hyaluronate utilization HMP	BT4411	Predicted hyaluronic acid binding protein (DUF4627)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	BT3348	Unsaturated glucuronide lyase acting on chondroitin/heparin disaccharides (EC 3.2.1.180)	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate catabolism	Hyl
Hyaluronate utilization HMP	SusC_Hyl	SusD, outer membrane protein, probably involved in hyaluronate binding	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
Hyaluronate utilization HMP	SusD_Hyl	SusC, outer membrane protein, probably involved in hyaluronate binding	Carbohydrate utilization	Hyaluronate utilization	Hyaluronate uptake	Hyl
N-acetylgalactosamine utilization HMP	AgaA	N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.25)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	AgaK1	N-acetylgalactosamine kinase, ROK-type (EC 2.7.1.157)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc; GalN
N-acetylgalactosamine utilization HMP	AgaK2	Predicted N-acetylgalactosamine and N-acetylglucosamine kinase, ROK family (EC 2.7.1.157)(EC 2.7.1.59)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc; GalN
N-acetylgalactosamine utilization HMP	AgaI	Galactosamine-6-phosphate isomerase (galactosamine-6-phosphate deaminase) (EC 5.3.1.-)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc; GalN
N-acetylgalactosamine utilization HMP	AgaZ	Tagatose-6-phosphate kinase (EC 2.7.1.144)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GatY	Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GalNAc_b	PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GalNAc_c	PTS system, N-acetylgalactosamine-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GalNAc_d	PTS system, N-acetylgalactosamine-specific IID component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GalNAc_a	PTS system, N-acetylgalactosamine- and galactosamine-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GalN_a	PTS system, galactosamine-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	GalN_b	PTS system, galactosamine-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	GalN_c	PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	GalN_d	PTS system, galactosamine-specific IID component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	AgaT	Predicted N-acetylgalactosamine transporter, MFS family	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalNAc
N-acetylgalactosamine utilization HMP	GalN2_d	Predicted PTS system, galactosamine-specific IID component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	GalN2_b	Predicted PTS system, galactosamine-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	GalN2_a	Predicted PTS system, galactosamine-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	GalN2_c	Predicted PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	AgaR	Transcriptional repressor of aga operon	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine regulation	GalNAc; GalN
N-acetylgalactosamine utilization HMP	AgaZ2	Tagatose-6-phosphate kinase AgaZ (EC 2.7.1.144)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc; GalN
N-acetylgalactosamine utilization HMP	AgaS2	Galactosamine-6-phosphate isomerase (EC 5.3.1.-)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GnbG	Beta-1,3-galactosidase, specific for lacto-N-biose and galacto-N-biose (GH35)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	AgaR2	Predicted transcriptional regulator of N-Acetylgalactosamine utilization, GntR family	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine regulation	GalNAc; GalN
N-acetylgalactosamine utilization HMP	AgaR3	Predicted transcriptional regulator of N-Acetylgalactosamine utilization, AraC family	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine regulation	GalNAc; GalN
N-acetylgalactosamine utilization HMP	GH109	Alpha-N-acetylgalactosaminidase, GH109 family (EC 3.2.1.49)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	GH31	Extracellular alpha-N-acetylgalactosaminidase (GH31)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	NagX	N-acetylglucosamine related transporter, NagX	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalNAc
N-acetylgalactosamine utilization HMP	AagA	Alpha-N-acetylgalactosaminidase AagA, GH36 family (EC 3.2.1.49)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	GalNAc_sul	Predicted N-acetylgalactosamine-6-sulfatase	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	LnpB	N-acetylhexosamine 1-kinase (EC 2.7.1.162)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	LnpC2	UTP---hexose-1-phosphate uridylyltransferase (EC 2.7.7.10)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	LnpD	UDP-hexose 4-epimerase (EC 5.1.3.2)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	AgaL	Alpha-D-galactosamine galactosaminidase (GH36)	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine catabolism	GalNAc
N-acetylgalactosamine utilization HMP	SusC_galN	Outer membrane TonB-dependent transporter for galactosamine containing antigen, SusC family	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylgalactosamine utilization HMP	SusD_galN	Outer membrane TonB-dependent transporter for galactosamine containing antigen, SusD family	Carbohydrate utilization	N-Acetyl-Galactosamine and Galactosamine utilization	N-Acetyl-Galactosamine and Galactosamine uptake	GalN
N-acetylmuramic acid utilization HMP	MurK	Predicted N-acetylmuramic acid kinase (EC 2.7.1.170)	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid catabolism	MurNac
N-acetylmuramic acid utilization HMP	MurK2	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170)	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid catabolism	MurNac
N-acetylmuramic acid utilization HMP	MurQ	N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126)	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid catabolism	MurNac
N-acetylmuramic acid utilization HMP	MurT	N-acetylmuramic acid transporter, NagX-related	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurA	Predicted N-acetylmuramic acid ABC transport system, permease protein 2	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurC	Predicted N-acetylmuramic acid ABC transport system, ATP-binding protein	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurB	Predicted N-acetylmuramic acid ABC transport system, sugar-binding protein	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurD	Predicted N-acetylmuramic acid ABC transport system, permease protein 1	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurX	PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.69)	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurY	PTS system, N-acetylmuramic acid-specific IIC component	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurZ	PTS system, N-acetylmuramic acid-specific IIA component (EC 2.7.1.69)	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	MurR	N-acetylmuramic acid utilization transcriptional regulator, RpiR family	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid regulation	MurNac
N-acetylmuramic acid utilization HMP	MupG	6-phospho-N-acetylmuramidase (EC 3.2.1.-)	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid catabolism	MurNac
N-acetylmuramic acid utilization HMP	AmpG	GlcNAc-MurNAc permease AmpG	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid uptake	MurNac
N-acetylmuramic acid utilization HMP	NamZ	Peptydoglycan-specific exo-beta-N-acetylmuramidase (GH171)	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid catabolism	MurNac
N-acetylmuramic acid utilization HMP	NagK5	Predicted bifunctional N-acetylmuramic acid and N-acetylglucosamine kinase	Carbohydrate utilization	N-acetylmuramic acid utilization	N-acetylmuramic acid catabolism	MurNac
Rhamnose and rhamnosides utilization HMP	RhaB	Rhamnulokinase (EC 2.7.1.5)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
Rhamnose and rhamnosides utilization HMP	RhaA	L-rhamnose isomerase (EC 5.3.1.14)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
Rhamnose and rhamnosides utilization HMP	RhaD	Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
Rhamnose and rhamnosides utilization HMP	RhaE	Predicted rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
Rhamnose and rhamnosides utilization HMP	RhaM	L-rhamnose mutarotase (EC 5.1.3.32)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
Rhamnose and rhamnosides utilization HMP	LraM	Novel predicted L-rhamnose 1-dehydrogenase (EC 1.1.1.173)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
Rhamnose and rhamnosides utilization HMP	LraL	Novel predicted L-rhamnono-gamma-lactonase (EC 3.1.1.65)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
Rhamnose and rhamnosides utilization HMP	LraN	Novel predicted L-rhamnoate dehydratase (EC 4.2.1.90)	Carbohydrate utilization	Rhamnose and Rhamnosides utilization	Rhamnose and Rhamnosides catabolism	Rha; Rhi; ROS
