subsystem	short_name	long_name
Arabinose and arabinosides utilization HMP	AbfT_OHS	Predicted alpha-arabino-oligosaccharides permease (TC 2.A.1.5), OHS family
Arabinose and arabinosides utilization HMP	AbfT	Predicted alpha-arabino-oligosaccharides permease (TC 2.A.2), GPH:cation symporter family
Arabinose and arabinosides utilization HMP	AbfT2	Possible GPH family transporter (TC 2.A.2) for arabinosides
Arabinose and arabinosides utilization HMP	AraN	Alpha-arabinosides ABC transport system, substrate-binding protein
Arabinose and arabinosides utilization HMP	AraP	Alpha-arabinosides ABC transport system, permease protein 1
Arabinose and arabinosides utilization HMP	AraQ	Alpha-arabinosides ABC transport system, permease protein 2
Arabinose and arabinosides utilization HMP	SusC_Ara	SusC, outer membrane protein involved in AOS/arabinan utilization
Arabinose and arabinosides utilization HMP	SusD_Ara	SusD, outer membrane protein involved in AOS/arabinan utilization
Arabinose and arabinosides utilization HMP	HypBA1	Exo-beta-(1->2)-L-arabinofuranosidase (EC 3.2.1.185), GH127 family
Arabinose and arabinosides utilization HMP	BauT	Predicted beta-arabino-oligosaccharides permease (TC 2.A.2), GPH:cation symporter family
Arabinose and arabinosides utilization HMP	BauR1	Putative transcriptional regulator of beta-arabinooligosaccharide utilization (LacI family)
Arabinose and arabinosides utilization HMP	AraC	Predicted alpha-arabino-oligosaccharides utilization transcriptional regulator, AraC family
Arabinose and arabinosides utilization HMP	AraC1	Putative transcriptional regulator of beta-arabinooligosaccharide utilization (AraC family)
Arabinose and arabinosides utilization HMP	AraR1	Predicted transcriptional regulator for arabinose utilization, NrtR family
Arabinose and arabinosides utilization HMP	AraR3	Predicted transcriptional regulator for arabinose utilization, LacI family
Arabinose and arabinosides utilization HMP	HTCS_Ara	DNA-binding response regulator for AOS/arabinane utilization, AraC family
Arabinose and arabinosides utilization HMP	AauA4	Putative alpha-arabinooligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)
Arabinose and arabinosides utilization HMP	AauB4	Putative alpha-arabinooligosaccharide ABC transporter-2 permease component 1 (TC 3.A.1.1)
Arabinose and arabinosides utilization HMP	AauC4	Putative alpha-arabinooligosaccharide ABC transporter-2 permease component 2 (TC 3.A.1.1)
Arabinose and arabinosides utilization HMP	AbfR	Putative transcriptional regulator of alpha-arabinooligosaccharide utilization-2 (LacI family)
Arabinose and arabinosides utilization HMP	AraDHG1	L-arabinose 1-dehydrogenase (EC 1.1.1.46)
Arabinose and arabinosides utilization HMP	AraDHG2	predicted L-arabinose 1-dehydrogenase (EC 1.1.1.46)
Arabinose and arabinosides utilization HMP	AL	L-arabinolactonase (EC 3.1.1.15)
Arabinose and arabinosides utilization HMP	AraDH1	L-arabonate dehydratase (EC 4.2.1.25)
Arabinose and arabinosides utilization HMP	KDAD	L-2-keto-3-deoxyarabonate dehydratase (EC 4.2.1.43)
Beta-galactosides utilization HMP	LacZ	Beta-galactosidase (EC 3.2.1.23)
Beta-galactosides utilization HMP	LacZp	Periplasmic beta-galactosidase (EC 3.2.1.23) involved in lactose utilization (GH2)
Beta-galactosides utilization HMP	LacH	Beta-galactosidase LacH (EC 3.2.1.23)
Beta-galactosides utilization HMP	LacL	Beta-galactosidase large subunit (EC 3.2.1.23)
Beta-galactosides utilization HMP	LacM	Beta-galactosidase small subunit (EC 3.2.1.23)
Beta-galactosides utilization HMP	EbgA	Evolved beta-D-galactosidase, alpha subunit
Beta-galactosides utilization HMP	EbgB	Evolved beta-D-galactosidase, beta subunit
Beta-galactosides utilization HMP	BgaA	Extracellular beta-1,4-galactosidase A (GH2)
Beta-galactosides utilization HMP	BgaC2	Beta-1,3-galactosidase (GH35)
Beta-galactosides utilization HMP	BgaC1	Beta-1,3-galactosidase, linked to hyaluronan utilization genes (GH35)
Beta-galactosides utilization HMP	BgaC3	Beta-1,3-galactosidase, specific for lacto-N-biose and galacto-N-biose (GH35)
Beta-galactosides utilization HMP	LacY	Lactose permease
Beta-galactosides utilization HMP	LacS	Lactose and galactose permease, GPH translocator family
Beta-galactosides utilization HMP	LacS2	Putative lactose permease (TC 2.A.2)
Beta-galactosides utilization HMP	LacF	PTS system, lactose-specific IIA component (EC 2.7.1.69)
Beta-galactosides utilization HMP	LacEb	PTS system, lactose-specific IIB component (EC 2.7.1.69)
Beta-galactosides utilization HMP	LacEc	PTS system, lactose-specific IIC component (EC 2.7.1.69)
Beta-galactosides utilization HMP	LacG	6-phospho-beta-galactosidase (EC 3.2.1.85)
Beta-galactosides utilization HMP	BgaX	Beta-galactosides ABC transporter, substrate-binding protein
Beta-galactosides utilization HMP	BgaY	Beta-galactosides ABC transporter, permease component 1
Beta-galactosides utilization HMP	BgaZ	Beta-galactosides ABC transporter, permease component 2
Beta-galactosides utilization HMP	BgaW	Beta-galactosides ABC transporter, ATP-binding protein
Beta-galactosides utilization HMP	LacR1	Lactose phosphotransferase system repressor
Beta-galactosides utilization HMP	LacR2	Transcriptional regulator for lactose utilization, LacI family
Beta-galactosides utilization HMP	LacR4	Transcriptional regulator for lactose utilization, AraC family
Beta-galactosides utilization HMP	LacI	Transcriptional repressor of the lac operon
Beta-galactosides utilization HMP	EbgR	Evolved beta-D-galactosidase transcriptional repressor
Beta-galactosides utilization HMP	BguR1	Transcriptional regulator for beta-galactosides utilization, LacI family
Beta-galactosides utilization HMP	BguR2	Transcriptional regulator for beta-galactosides utilization, AraC family
Beta-galactosides utilization HMP	BgaP	Two-component response regulator for beta-galactosides utilization, AraC family
Beta-galactosides utilization HMP	BgaQ	Two-component system sensor histidine kinase for beta-galactosides utilization
Beta-galactosides utilization HMP	SusC_gos	SusC, outer membrane protein involved in galacto-oligosaccharides utilization
Beta-galactosides utilization HMP	SusD_gos	SusD, outer membrane protein involved in galacto-oligosaccharides utilization
Beta-galactosides utilization HMP	HTCS_gos	Hybrid two-component system sensor histidine kinase/response regulator involved in galacto-oligosaccharides utilization
Beta-galactosides utilization HMP	Abg	Arabinogalactan endo-1,4-beta-galactanase (EC 3.2.1.89)
Beta-galactosides utilization HMP	GH147	Secreted beta-galactosidase acting on galactan (GH147)
Beta-galactosides utilization HMP	SGBP_gos	Surface glycan binding protein, galacto-oligosaccharides-specific
Beta-galactosides utilization HMP	GH2_gos	Periplasmic beta-galactosidase (EC 3.2.1.23) involved in galacto-oligosaccharides utilization (GH2)
Beta-glucosides utilization HMP	Bgl1	Broad specificity beta-glucosidase (GH1)
Beta-glucosides utilization HMP	CldC	Beta-glucosidase-1 (GH1)
Beta-glucosides utilization HMP	BglA	Beta-glucosidase (EC 3.2.1.21)
Beta-glucosides utilization HMP	BglA2	Periplasmic beta-glucosidase (EC 3.2.1.21)
Beta-glucosides utilization HMP	AscB	6-phospho-beta-glucosidase (EC 3.2.1.86)
Beta-glucosides utilization HMP	OGP	1,2-beta-oligoglucan phosphorylase (EC 2.4.1.333)
Beta-glucosides utilization HMP	CbpA	Cellobiose phosphorylase (EC 2.4.1.20)
Beta-glucosides utilization HMP	LbpA	Laminaribiose phosphorylase (EC 2.4.1.31)
Beta-glucosides utilization HMP	Bgl5	probable beta-1,3-exoglucanase
Beta-glucosides utilization HMP	Bgl30	Predicted beta-1,6-glucanase, GH30
Beta-glucosides utilization HMP	Cel_5	beta-1,4-glucanase (cellulase) (EC 3.2.1.4)
Beta-glucosides utilization HMP	LamA	Beta-glucanase precursor (EC 3.2.1.73)
Beta-glucosides utilization HMP	LicA	Endo-beta-1,3-1,4 glucanase (Licheninase) (EC 3.2.1.73)
Beta-glucosides utilization HMP	CelF	Cellulose 1,4-beta-cellobiosidase (non-reducing end) (EC 3.2.1.91)
Beta-glucosides utilization HMP	CelA	PTS system, cellobiose-specific IIA component (EC 2.7.1.69)
Beta-glucosides utilization HMP	CelB	PTS system, cellobiose-specific IIB component (EC 2.7.1.69)
Beta-glucosides utilization HMP	CelC	PTS system, cellobiose-specific IIC component (EC 2.7.1.69)
Beta-glucosides utilization HMP	BglFa	PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)
Beta-glucosides utilization HMP	BglFb	PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)
Beta-glucosides utilization HMP	BglFc	PTS system, beta-glucoside-specific IIC component (EC 2.7.1.69)
Beta-glucosides utilization HMP	AscFb	PTS system, arbutin-, cellobiose-, and salicin-specific IIB component
Beta-glucosides utilization HMP	AscFc	PTS system, arbutin-, cellobiose-, and salicin-specific IIC component
Beta-glucosides utilization HMP	BglX	Beta-glucosides ABC transporter, substrate-binding protein
Beta-glucosides utilization HMP	BglY	Beta-glucosides ABC transporter, permease component 1
Beta-glucosides utilization HMP	BglZ	Beta-glucosides ABC transporter, permease component 2
Beta-glucosides utilization HMP	BglX2	Predicted beta-glucosides ABC transporter, substrate-binding protein
Beta-glucosides utilization HMP	BglY2	Predicted beta-glucosides ABC transporter, permease protein 1
Beta-glucosides utilization HMP	BglZ2	Predicted beta-glucosides ABC transporter, permease protein 2
Beta-glucosides utilization HMP	CldE	Cellobiose and cellodextrin ABC transporter substrate-binding component (TC 3.A.1.1)
Beta-glucosides utilization HMP	CldF	Cellobiose and cellodextrin ABC transporter permease component 1 (TC 3.A.1.1)
Beta-glucosides utilization HMP	CldG	Cellobiose and cellodextrin ABC transporter permease component 2 (TC 3.A.1.1)
Beta-glucosides utilization HMP	SusC_bgl	SusC, outer membrane protein involved in beta-glucoside binding
Beta-glucosides utilization HMP	SusD_bgl	SusD, outer membrane protein involved in beta-glucoside binding
Beta-glucosides utilization HMP	BglG	Beta-glucoside bgl operon antiterminator, BglG family
Beta-glucosides utilization HMP	BglU	Predicted beta-glucosides utilization regulator, RpiR family
Beta-glucosides utilization HMP	BglU2	Predicted beta-glucosides utilization regulator, GntR family
Beta-glucosides utilization HMP	AscR	AscBF operon repressor
Beta-glucosides utilization HMP	CldR	Transcriptional regulator of cellobiose and cellodextrin utilization (LacI family)
Beta-glucosides utilization HMP	BglR	Transcriptional regulator of beta-glucosides utilization, LacI family
Beta-glucosides utilization HMP	BglR2	Transcriptional regulator of beta-glucosides utilization, AraC family
Beta-glucosides utilization HMP	CelR	Transcriptional activator of cellobiose operon, BglG family
Beta-glucosides utilization HMP	CelX	Outer surface protein of unknown function, cellobiose operon
Beta-glucosides utilization HMP	GH30_3	Glucan endo-1,6-beta-glucosidase (EC 3.2.1.75)
Beta-glucosides utilization HMP	GH3	Periplasmic beta-1,6-glucosidase (GH3)
Beta-glucosides utilization HMP	SusR_bgl	Regulatory protein SusR involved in beta-glucan utilization
Beta-glucosides utilization HMP	Cel_C	Endoglucanase C (EC 3.2.1.4)
Beta-glucosides utilization HMP	CelR2	Predicted cellobiose operon regulator (Transcriptional antiterminator), BglG family
Fructose utilization HMP	FruK	1-phosphofructokinase (EC 2.7.1.56)
Fructose utilization HMP	ScrK	Fructokinase (EC 2.7.1.4)
Fructose utilization HMP	FruP	Predicted fructose transporter
Fructose utilization HMP	FruE	Fructose-specific ABC transporter, substrate-binding protein FruE
Fructose utilization HMP	FruF	Fructose-specific ABC transporter, permease protein FruF
Fructose utilization HMP	FruG	Fructose-specific ABC transporter, permease protein FruG
Fructose utilization HMP	FruKt	Fructose-specific ABC transporter, ATPase protein FruK
Fructose utilization HMP	FruAa	PTS system, fructose-specific IIA component (EC 2.7.1.69)
Fructose utilization HMP	FruAb	PTS system, fructose-specific IIB component (EC 2.7.1.69)
Fructose utilization HMP	FruAc	PTS system, fructose-specific IIC component (EC 2.7.1.69)
Fructose utilization HMP	FruAd	PTS system, fructose-specific IID component
Fructose utilization HMP	FruAa1	PTS system, fructose-specific IIA component (EC 2.7.1.202)
Fructose utilization HMP	FruAb1	PTS system, fructose-specific IIB component (EC 2.7.1.202)
Fructose utilization HMP	FruAc1	PTS system, fructose-specific IIC component
Fructose utilization HMP	FruR2	Transcriptional repressor of the fructose operon, DeoR family
Fructose utilization HMP	FruR3	Predicted transcriptional regulator of fructose utilization, RpiR family
Fructose utilization HMP	FruT	Fructose utilization antiterminator, BglG family
Fucose utilization HMP	FucU	L-fucose mutarotase (EC 5.1.3.29)
Fucose utilization HMP	FucI	L-fucose isomerase (EC 5.3.1.25)
Fucose utilization HMP	FucK	L-fuculokinase (EC 2.7.1.51)
Fucose utilization HMP	FucK2	L-fuculokinase (EC 2.7.1.51), predicted
Fucose utilization HMP	FucA	L-fuculose phosphate aldolase (EC 4.1.2.17)
Fucose utilization HMP	FucA2	L-fuculose phosphate aldolase, type 2 (EC 4.1.2.17)
Fucose utilization HMP	RhaW1	Lactaldehyde dehydrogenase involved in fucose or rhamnose utilization (EC 1.2.1.22)
Fucose utilization HMP	FucD1	L-fuco-beta-pyranose dehydrogenase (EC 1.1.1.122)
Fucose utilization HMP	FucD2	L-fuco-beta-pyranose dehydrogenase, type 2 (EC 1.1.1.122)
Fucose utilization HMP	FucB	L-fuconolactone hydrolase
Fucose utilization HMP	FucC	L-fuconate dehydratase (EC 4.2.1.68)
Fucose utilization HMP	FucF	2-keto-3-deoxy-L-fuconate dehydrogenase
Fucose utilization HMP	FucG	2,4-didehydro-3-deoxy-L-fuconate hydrolase (EC 3.7.1.26)
Fucose utilization HMP	FucH	2-keto-3-deoxy-L-fuconate aldolase (EC 4.1.2.64)
Fucose utilization HMP	FucO	Lactaldehyde reductase (EC 1.1.1.77)
Fucose utilization HMP	FucP	Fucose permease
Fucose utilization HMP	FucT	Fucose transporter, Sugar_tr family, predicted
Fucose utilization HMP	FucX	Fucose ABC transport system, substrate-binding protein, predicted
Fucose utilization HMP	FucY	Fucose ABC transport system, permease protein, predicted
Fucose utilization HMP	FucZ	Fucose ABC transport system, ATP-binding protein, predicted
Fucose utilization HMP	AlfA	Alpha-L-fucosidase (EC 3.2.1.51)
Fucose utilization HMP	AlfA1	alpha-L-fucosidase (EC 3.2.1.51)
Fucose utilization HMP	AlfA2	Putative alpha-1,2-fucosidase (EC 3.2.1.63)
Fucose utilization HMP	AlfB	alpha-L-fucosidase (EC 3.2.1.51), predicted
Fucose utilization HMP	Afc29	glycosyl hydrolase family 29 (alpha-L-fucosidase)
Fucose utilization HMP	BiAfcB	Alpha-1,3/4-L-fucosidase (GH29)
Fucose utilization HMP	Afc95	Alpha-L-fucosidase (EC 3.2.1.51), GH95 family
Fucose utilization HMP	FucSa	PTS system, prediced fucosides-specific IIA component
Fucose utilization HMP	FucSb	PTS system, prediced fucosides-specific IIB component
Fucose utilization HMP	FucSc	PTS system, prediced fucosides-specific IIC component (EC 2.7.1.69)
Fucose utilization HMP	FucSd	PTS system, prediced fucosides-specific IID component
Fucose utilization HMP	FsdX	Fucosides ABC transport system, substrate-binding protein, predicted
Fucose utilization HMP	FsdY	Fucosides ABC transport system, permease protein, predicted
Fucose utilization HMP	SusC_fcl	Outer membrane TonB-dependent transporter, predicted utilization system for fucosyllactose, SusC family
Fucose utilization HMP	SusD_fcl	Cell surface glycan-binding lipoprotein, predicted utilization system for fucosyllactose, SusD family
Fucose utilization HMP	FucR1	Predicted transcriptional regulator for fucose utilization, AraC family
Fucose utilization HMP	FucR2	Predicted transcriptional regulator for fucose utilization, LacI family
Fucose utilization HMP	FucR	L-fucose operon activator
Fucose utilization HMP	RhaW2	Predicted lactaldehyde dehydrogenase (EC 1.2.1.22)
Fucose utilization HMP	FucR3	Predicted transcriptional regulator for fucose utilization, IclR family
Fucose utilization HMP	GH151	Alpha-L-fucosidase (GH151)
Fucose utilization HMP	FucS	Putative Fuc(a1-6)GlcNAc-peptide MFS permease (TC 2.A.1.68)
Fucose utilization HMP	AlfC	Alpha-1,6-L-fucosidase (GH29)
Fucose utilization HMP	FctT1	Predicted fuconate transporter, KdgT-related
Fucose utilization HMP	FctT2	Predicted fuconate/rhamnonate transporter, ACS Family
Fucose utilization HMP	FctR	Predicted fuconate transcriptional regulator, IclR family
Galactose and Tagatose utilization HMP	GalM	Aldose 1-epimerase (EC 5.1.3.3)
Galactose and Tagatose utilization HMP	GalM2	galactose mutarotase-like protein
Galactose and Tagatose utilization HMP	GalK	Galactokinase (EC 2.7.1.6)
Galactose and Tagatose utilization HMP	GalT	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)
Galactose and Tagatose utilization HMP	GalT2	UTP---hexose-1-phosphate uridylyltransferase (EC 2.7.7.10)
Galactose and Tagatose utilization HMP	GalE	UDP-glucose 4-epimerase (EC 5.1.3.2)
Galactose and Tagatose utilization HMP	GalE2	UDP-hexose 4-epimerase (EC 5.1.3.2)
Galactose and Tagatose utilization HMP	Pgm	Phosphoglucomutase (EC 5.4.2.2)
Galactose and Tagatose utilization HMP	GalP	Galactose-proton symporter
Galactose and Tagatose utilization HMP	GlcT	Galactose/glucose transporter, FHS family, MFS superfamily
Galactose and Tagatose utilization HMP	SgaT1	Putative galactose MFS permease (TC 2.A.21)
Galactose and Tagatose utilization HMP	SgaT	Predicted sodium-dependent galactose transporter
Galactose and Tagatose utilization HMP	GalP1	Galactose MFS permease (TC 2.A.1.1.42)
Galactose and Tagatose utilization HMP	MglA	Galactose/methyl galactoside ABC transport system, ATP-binding protein MglA (EC 3.6.3.17)
Galactose and Tagatose utilization HMP	MglC	Galactose/methyl galactoside ABC transport system, permease protein MglC (TC 3.A.1.2.3)
Galactose and Tagatose utilization HMP	MglB	Galactose/methyl galactoside ABC transport system, D-galactose-binding periplasmic protein MglB (TC 3.A.1.2.3)
Galactose and Tagatose utilization HMP	GxgA	Galactose/xylose/glucose ABC transport system, ATP-binding component
Galactose and Tagatose utilization HMP	GxgB	Galactose/xylose/glucose ABC transport system, permease component
Galactose and Tagatose utilization HMP	GxgC	Galactose/xylose/glucose ABC transport system, substrate-binding component
Galactose and Tagatose utilization HMP	LacA	Galactose-6-phosphate isomerase, LacA subunit (EC 5.3.1.26)
Galactose and Tagatose utilization HMP	LacB	Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)
Galactose and Tagatose utilization HMP	AgaZ	Tagatose-6-phosphate kinase (EC 2.7.1.144)
Galactose and Tagatose utilization HMP	GatY	Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)
Galactose and Tagatose utilization HMP	GatA	PTS system, galactose-specific IIA component (EC 2.7.1.69)
Galactose and Tagatose utilization HMP	GatB	PTS system, galactose-specific IIB component (EC 2.7.1.69)
Galactose and Tagatose utilization HMP	GatC	PTS system, galactose-specific IIC component (EC 2.7.1.69)
Galactose and Tagatose utilization HMP	Gal_IID	Predicted PTS system, galactose-specific IID component
Galactose and Tagatose utilization HMP	Gal_IIC	Predicted PTS system, galactose-specific IIC component
Galactose and Tagatose utilization HMP	Gal_IIB	Predicted PTS system, galactose-specific IIB component
Galactose and Tagatose utilization HMP	Gal_IIA	Predicted PTS system, galactose-specific IIA component
Galactose and Tagatose utilization HMP	TagABb	PTS system, tagatose-specific IIB component (EC 2.7.1.69)
Galactose and Tagatose utilization HMP	TagABc	PTS system, tagatose-specific IIC component (EC 2.7.1.69)
Galactose and Tagatose utilization HMP	TagABa	PTS system, tagatose-specific IIA component (EC 2.7.1.69)
Galactose and Tagatose utilization HMP	TagK	D-tagatose-1-phosphate kinase (EC 2.7.1.234)
Galactose and Tagatose utilization HMP	GatZ	Tagatose-6-phosphate kinase GatZ (EC 2.7.1.144)
Galactose and Tagatose utilization HMP	LacR1	Lactose phosphotransferase system repressor
Galactose and Tagatose utilization HMP	GalR2	Galactose operon repressor, GalR-LacI family of transcriptional regulators
Galactose and Tagatose utilization HMP	GalR	Transcriptional regulator of galactose metabolism, DeoR family
Galactose and Tagatose utilization HMP	TagR1	Tagatose-phosphate transcriptional repressor, RpiR family
Galactose and Tagatose utilization HMP	TagR2	Transcriptional regulator of tagatose utilization, DeoR family
Galactose and Tagatose utilization HMP	TagR3	Predicted transcriptional repressor of tagatose utilization, DeoR family
Galactose and Tagatose utilization HMP	GalR3	Transcriptional regulator of galactose metabolism, LacI family
Galactose and Tagatose utilization HMP	LacS	Lactose and galactose permease, GPH translocator family
Gluconate utilization HMP	GntK	Gluconokinase (EC 2.7.1.12)
Gluconate utilization HMP	Gnd	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)
Gluconate utilization HMP	GntA	Gluconate dehydratase (EC 4.2.1.39)
Gluconate utilization HMP	GntP	Gluconate permease
Gluconate utilization HMP	GntP2	Gluconate permease, Bsu4004 homolog
Gluconate utilization HMP	GntT	High-affinity gluconate transporter GntT
Gluconate utilization HMP	GntT2	Gluconate transporter family protein
Gluconate utilization HMP	GntT3	D-gluconate transporter (2.A.1.14)
Gluconate utilization HMP	GntU	Low-affinity gluconate/H+ symporter GntU
Gluconate utilization HMP	TRAPlp	Predicted TRAP-type gluconate transport system, large permease component
Gluconate utilization HMP	TRAPsp	Predicted TRAP-type gluconate transport system, small permease component
Gluconate utilization HMP	TRAPsbp	TRAP-type transport system, periplasmic component, predicted glutamate-binding protein
Gluconate utilization HMP	PTSa	PTS system, gluconate-specific IIA component
Gluconate utilization HMP	PTSb	PTS system, gluconate-specific IIB component
Gluconate utilization HMP	PTSc	PTS system, gluconate-specific IIC component
Gluconate utilization HMP	PTSd	PTS system, gluconate-specific IID component
Gluconate utilization HMP	ABCp2	Putative D-gluconate ABC transporter, permease protein 1
Gluconate utilization HMP	ABCs	Putative D-gluconate ABC transporter, substrate-binding protein
Gluconate utilization HMP	ABCp1	Putative D-gluconate ABC transporter, permease protein 2
Gluconate utilization HMP	GntR2	Transcriptional regulator for gluconate utilization, GntR family
Gluconate utilization HMP	GntR	Gluconate operon transcriptional repressor
Gluconate utilization HMP	GntR1	Gluconate utilization system Gnt-I transcriptional repressor
Gluconate utilization HMP	GndR	Predicted phosphogluconate utilization regulator, RpiR family
Gluconate utilization HMP	ManE	Predicted 6-phosphomannonate 2-epimerase
Gluconate utilization HMP	UxuA	Mannonate dehydratase (EC 4.2.1.8)
Gluconate utilization HMP	STP_Gnt	Sugar-terminal-phosphatase (EC 3.1.3.58)
Gluconate utilization HMP	DUF_Gnt	hypothetical membrane-bound protein from gluconate utilization operon
Glucose utilization HMP	GlcK	Glucokinase (EC 2.7.1.2)
Glucose utilization HMP	Hxk	Hexokinase (EC 2.7.1.1)
Glucose utilization HMP	PpgK	Polyphosphate glucokinase (EC 2.7.1.63)
Glucose utilization HMP	GlcT	Galactose/glucose transporter, FHS family, MFS superfamily
Glucose utilization HMP	GlcU	glucose uptake protein
Glucose utilization HMP	SS	Sugar symporter in Akkermansia
Glucose utilization HMP	GlcP	Glucose/mannose:H+ symporter GlcP
Glucose utilization HMP	GlcP1	Glucose MFS permease (TC 2.A.1.1.42)
Glucose utilization HMP	GxgA	Galactose/xylose/glucose ABC transport system, ATP-binding component
Glucose utilization HMP	GxgB	Galactose/xylose/glucose ABC transport system, permease component
Glucose utilization HMP	GxgC	Galactose/xylose/glucose ABC transport system, substrate-binding component
Glucose utilization HMP	PtsGa	PTS system, glucose-specific IIA component (EC 2.7.1.69)
Glucose utilization HMP	PtsGb	PTS system, glucose-specific IIB component (EC 2.7.1.69)
Glucose utilization HMP	PtsGc	PTS system, glucose-specific IIC component (EC 2.7.1.69)
Glucose utilization HMP	GlvB	PTS system, maltose and glucose-specific IIB component (EC 2.7.1.69)
Glucose utilization HMP	GlvC	PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)
Glucose utilization HMP	GlvA	PTS system, maltose and glucose-specific IIA component (EC 2.7.1.69)
Glucose utilization HMP	ManM	PTS system, mannose/glucose/N-acetylglucosamine-specific IIC component (EC 2.7.1.69)
Glucose utilization HMP	ManN	PTS system, mannose/glucose/N-acetylglucosamine-specific IID component (EC 2.7.1.69)
Glucose utilization HMP	ManLa	PTS system, mannose/glucose/N-acetylglucosamine-specific IIA component (EC 2.7.1.69)
Glucose utilization HMP	ManLb	PTS system, mannose/glucose/N-acetylglucosamine-specific IIB component (EC 2.7.1.69)
